#algo	query_id	nb_reads	query_length	accession	description	organism	percentIdentity	nb_hsps	queryOverlap	hitOverlap	evalue	score	tax_id	taxonomy	sequence
"BLASTX"	"SRR10518885_2904"	"368"	"1197"	"RVW51879"	"putative leucine-rich repeat receptor-like protein kinase [Vitis vinifera]"	"Vitis vinifera"	"73.7"	"4"	"100"	"41"	"1.19359250072777e-17"	"1072.3393"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1951"	"726"	"1399"	"CAN62190"	"hypothetical protein VITISV_020113 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"87"	"96"	"0"	"853.588"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3280"	"567"	"1139"	"CBI35336"	"unnamed protein product, partial [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"96"	"87"	"0"	"701.049"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1030"	"543"	"1739"	"XP_002263774"	"PREDICTED: glutamine-dependent NAD(+) synthetase [Vitis vinifera]"	"Vitis vinifera"	"99.5"	"1"	"99"	"79"	"0"	"1133.24"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2850"	"288"	"1205"	"RVX14268"	"Leucoanthocyanidin reductase [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"75"	"84"	"0"	"536.954"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4139"	"178"	"1013"	"XP_002265437"	"PREDICTED: serine/threonine-protein kinase At5g01020 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"90"	"70"	"0"	"633.254"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2618"	"351"	"1248"	"XP_003633914"	"PREDICTED: spastin [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"100"	"85"	"0"	"822.772"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1300"	"653"	"1618"	"XP_010661164"	"PREDICTED: uncharacterized protein LOC100260952 [Vitis vinifera]"	"Vitis vinifera"	"97.8"	"1"	"94"	"81"	"0"	"899.427"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3625"	"254"	"1084"	"XP_002280548"	"PREDICTED: CMP-sialic acid transporter 1 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"92"	"100"	"0"	"677.937"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3225"	"219"	"1148"	"XP_002280658"	"PREDICTED: stem-specific protein TSJT1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"40"	"65"	"4.84846e-104"	"316.62"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4085"	"110"	"1019"	"XP_002275238"	"PREDICTED: derlin-1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"71"	"100"	"3.41675e-171"	"484.952"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_567"	"379"	"2053"	"XP_002276924"	"PREDICTED: T-complex protein 1 subunit alpha [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"80"	"100"	"0"	"1077"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1291"	"282"	"1622"	"XP_002280241"	"PREDICTED: inositol 1,3,4-trisphosphate 5/6-kinase 4 [Vitis vinifera]"	"Vitis vinifera"	"99.4"	"1"	"92"	"96"	"0"	"1006.51"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_890"	"600"	"1806"	"XP_002281533"	"PREDICTED: suppressor of mec-8 and unc-52 protein homolog 1 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"98.1"	"1"	"85"	"100"	"0"	"1050.04"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1586"	"351"	"1513"	"CAN70580"	"hypothetical protein VITISV_033718 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"75"	"86"	"0"	"759.214"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2959"	"565"	"1187"	"XP_010662982"	"PREDICTED: probable plastid-lipid-associated protein 14, chloroplastic [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"100"	"59"	"0"	"718.768"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2681"	"140"	"1238"	"XP_010646536"	"PREDICTED: uncharacterized protein LOC100252861 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"82"	"92"	"0"	"704.131"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3615"	"722"	"1086"	"XP_010649678"	"PREDICTED: pto-interacting protein 1 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"81"	"90"	"0"	"580.482"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2793"	"81"	"1216"	"CBI36854"	"unnamed protein product, partial [Vitis vinifera]"	"Vitis vinifera"	"92.5"	"3"	"100"	"73"	"1.05524333333333e-11"	"1153.631"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2929"	"752"	"1192"	"XP_002263742"	"PREDICTED: inositol transporter 1 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"93.2"	"1"	"92"	"74"	"0"	"530.791"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2579"	"531"	"1256"	"XP_002284593"	"PREDICTED: kinesin-like protein KIN-13B [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"69"	"40"	"0"	"605.134"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3195"	"1868"	"1153"	"XP_002265837"	"PREDICTED: NAD-dependent protein deacetylase SRT1 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.5"	"1"	"100"	"82"	"0"	"786.949"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_936"	"653"	"1779"	"RVW75166"	"putative pectate lyase 5 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"64"	"94"	"0"	"689.493"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
